WO,StartDate,EndDate,Equipment,Value,FunctionalLocation,OrderType,WBS,Activity,Notification,Priority,Fun.Loc
70004098,12/19/2013,12/19/2013,,11853.2,GC05-15-01180-01-005,S,GC05-14-003-03,R,,,GC05-15
80006409,02/24/2014,02/24/2014,90020269,1088,GC05-25-01420-02-030,R,GC05-14-007-03,R,,,GC05-25
80006417,04/03/14,04/03/14,90020601,20941,GC05-25-01420-00-005,R,GC05-14-007-03,R,,,GC05-25
80006434,03/17/2014,03/17/2014,90020150,1849,GC05-15-01270-01-035,R,GC05-14-004-03,R,,,GC05-15
80006455,01/04/14,01/04/14,90020213,15001.7,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006472,09/04/14,09/04/14,90020584,2800,GC05-40-03810-01-130,R,GC05-14-021-03,R,,,GC05-40
80006490,05/13/2014,05/13/2014,90020342,7782.5,GC05-25-01690-02-005,R,GC05-14-008-03,R,,,GC05-25
80006501,05/21/2014,05/21/2014,90020213,908,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006513,04/06/14,04/06/14,90020215,6420.6,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006515,04/06/14,04/06/14,90020206,41712.2,GC05-20-01330-01-050,R,GC05-14-005-03,R,,,GC05-20
80006517,04/06/14,04/06/14,90020061,3998,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006518,04/06/14,04/06/14,90020056,4837,GC05-10-01690-01-015,R,GC05-14-002-03,R,,,GC05-10
80006520,05/06/14,05/06/14,90020192,257237.8,GC05-20-01330-01-045,R,GC05-14-904-02,J,,,GC05-20
80006521,12/06/14,12/06/14,21859,17728.9,GC05-25-01420-00-015,R,GC05-14-007-03,R,,,GC05-25
80006522,06/13/2014,06/13/2014,90020084,0,GC05-25-01420-00-010,R,GC05-14-007-03,R,,,GC05-25
80006523,06/13/2014,06/13/2014,90020487,5344.3,GC05-35-02600-01-900,R,GC05-14-013-03,R,,,GC05-35
80006525,06/17/2014,06/17/2014,90020132,8170,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006526,06/17/2014,06/17/2014,90020105,5500,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006528,06/23/2014,06/23/2014,90020173,3439.3,GC05-20-01330-01-005,R,GC05-14-005-03,R,,,GC05-20
80006529,06/23/2014,06/23/2014,90020058,4744,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006549,08/07/14,08/07/14,90020342,2120,GC05-25-01690-02-005,R,GC05-14-008-03,R,,,GC05-25
80006555,07/25/2014,07/25/2014,90020219,1768,GC05-20-01690-01-020,R,GC05-14-006-03,R,,,GC05-20
80006556,07/25/2014,07/25/2014,90020372,3019.9,GC05-30-01480-01-005,R,GC05-14-009-03,R,,,GC05-30
80006557,07/28/2014,07/28/2014,90020194,5421,GC05-20-01330-01-045,R,GC05-14-005-03,R,,,GC05-20
80006558,07/31/2014,07/31/2014,90020350,7264.6,GC05-25-01690-02-005,R,GC05-14-008-03,R,,,GC05-25
80006562,08/19/2014,08/19/2014,90020273,23064.7,GC05-25-01420-02-030,R,GC05-14-007-03,R,,,GC05-25
80006563,08/19/2014,08/19/2014,90020264,20287.2,GC05-25-01420-02-005,R,GC05-14-007-03,R,,,GC05-25
80006565,08/25/2014,08/25/2014,90020052,3400,GC05-10-01090-01-010,R,GC05-14-001-03,R,,,GC05-10
80006566,08/25/2014,08/25/2014,90020377,1428,GC05-30-01480-01-060,R,GC05-14-009-03,R,,,GC05-30
80006567,08/25/2014,08/25/2014,90020241,6218.4,GC05-25-01420-01-030,R,GC05-14-007-03,R,,,GC05-25
80006569,08/29/2014,08/29/2014,90020584,24472,GC05-40-03810-01-130,R,GC05-14-021-03,R,,,GC05-40
80006570,01/09/14,01/09/14,90020185,8356,GC05-20-01330-01-045,R,GC05-14-005-03,R,,,GC05-20
80006574,09/15/2014,09/15/2014,90020214,4315,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006577,09/24/2014,09/24/2014,90020066,4862.2,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006564,01/09/14,09/30/2014,90020192,117285.2,GC05-20-01330-01-045,R,GC05-14-005-02,F,,,GC05-20
80006580,09/30/2014,09/30/2014,90020399,4700,GC05-30-01510-01-999,R,GC05-14-010-03,R,,,GC05-30
80006582,06/10/14,06/10/14,90020370,1768,GC05-30-01480-01-005,R,GC05-14-009-03,R,,,GC05-30
80006583,08/10/14,08/10/14,90020418,410,GC05-30-01540-01-005,R,GC05-14-011-03,R,,,GC05-30
80006880,10/06/14,09/10/14,90020219,0,GC05-20-01690-01-020,R,GC05-15-006-03,R,,N,GC05-20
80006586,10/13/2014,10/13/2014,90020443,1632,GC05-30-01540-04-073,R,GC05-14-011-03,R,,,GC05-30
80006589,10/31/2014,10/31/2014,90020399,4700,GC05-30-01510-01-999,R,GC05-14-010-03,R,,,GC05-30
80006590,10/31/2014,10/31/2014,90020520,5722,GC05-40-02710-01-080,R,GC05-14-017-03,R,,,GC05-40
80006591,03/11/14,03/11/14,90020662,4080,GC05-35-02660-02-999,R,GC05-14-015-03,R,,,GC05-35
80006593,06/11/14,06/11/14,90020239,12225.3,GC05-25-01420-01-030,R,GC05-14-007-03,R,,,GC05-25
80006594,07/11/14,07/11/14,90020116,85788.6,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006598,11/24/2014,11/24/2014,90020276,2040,GC05-25-01420-02-030,R,GC05-14-007-01,F,,,GC05-25
80006599,11/26/2014,11/26/2014,21871,816,GC05-25-01420-00-015,R,GC05-14-007-03,R,,,GC05-25
80006601,02/12/14,02/12/14,90020474,5305.1,GC05-35-02600-01-030,R,GC05-14-013-03,R,,,GC05-35
80006602,02/12/14,02/12/14,90020062,2322,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006606,08/12/14,08/12/14,90020134,1666,GC05-15-01180-01-048,R,GC05-14-003-03,R,,,GC05-15
80006607,08/12/14,08/12/14,90020317,2720,GC05-25-01690-01-005,R,GC05-14-008-01,F,,,GC05-25
80006609,12/15/2014,12/15/2014,90020208,2937.5,GC05-20-01330-01-050,R,GC05-14-005-03,R,,,GC05-20
80006610,12/15/2014,12/15/2014,90020480,2641.5,GC05-35-02600-01-900,R,GC05-14-013-03,R,,,GC05-35
80006612,12/23/2014,12/23/2014,90020214,2693.4,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006613,12/23/2014,12/23/2014,90020202,343.6,GC05-20-01330-01-050,R,GC05-14-005-03,R,,,GC05-20
70004095,01/01/14,12/31/2014,90020052,29979.9,GC05-10-01090-01-010,S,GC05-14-001-03,R,,,GC05-10
70004096,01/01/14,12/31/2014,,974.3,GC05-10-01090,S,GC05-14-001-03,R,,,GC05-10
70004097,01/01/14,12/31/2014,,14576.1,GC05-10-01690-01,S,GC05-14-002-03,R,,,GC05-10
70004099,01/01/14,12/31/2014,,10122.4,GC05-15-01180-01-030,S,GC05-14-003-03,R,,,GC05-15
70004100,01/01/14,12/31/2014,,2135.2,GC05-15-01180-01-030,S,GC05-14-003-03,R,,,GC05-15
70004101,01/01/14,12/31/2014,,10721.5,GC05-15-01180-01-048,S,GC05-14-003-03,R,,,GC05-15
70004102,01/01/14,12/31/2014,,3884.7,GC05-15-01270,S,GC05-14-004-03,R,,,GC05-15
70004103,01/01/14,12/31/2014,,5482,GC05-20-01330-01-005,S,GC05-14-005-03,R,,,GC05-20
70004104,01/01/14,12/31/2014,,7376.2,GC05-20-01330-01-040,S,GC05-14-005-03,R,,,GC05-20
70004105,01/01/14,12/31/2014,90020178,39729.3,GC05-20-01330-01-040,S,GC05-14-005-03,R,,,GC05-20
70004106,01/01/14,12/31/2014,90020181,7625.6,GC05-20-01330-01-040,S,GC05-14-005-03,R,,,GC05-20
70004107,01/01/14,12/31/2014,,71253.8,GC05-20-01330-01-045,S,GC05-14-005-03,R,,,GC05-20
70004108,01/01/14,12/31/2014,,15018.4,GC05-20-01330-01-050,S,GC05-14-005-03,R,,,GC05-20
70004109,01/01/14,12/31/2014,,14633.9,GC05-20-01690,S,GC05-14-006-03,R,,,GC05-20
70004110,01/01/14,12/31/2014,,2955.3,GC05-25-01420-00-005,S,GC05-14-007-03,R,,,GC05-25
70004111,01/01/14,12/31/2014,,3568.2,GC05-25-01420-00-015,S,GC05-14-007-03,R,,,GC05-25
70004112,01/01/14,12/31/2014,90020074,14071.9,GC05-25-01420-00-010,S,GC05-14-007-03,R,,,GC05-25
70004113,01/01/14,12/31/2014,,4460.6,GC05-25-01420-00-010,S,GC05-14-007-03,R,,,GC05-25
70004114,01/01/14,12/31/2014,90020229,5671.2,GC05-25-01420-01-005,S,GC05-14-007-03,R,,,GC05-25
70004115,01/01/14,12/31/2014,90020233,7587.7,GC05-25-01420-01-005,S,GC05-14-007-03,R,,,GC05-25
70004116,01/01/14,12/31/2014,,33359,GC05-25-01420-01,S,GC05-14-007-03,R,,,GC05-25
70004117,01/01/14,12/31/2014,90020254,6619.2,GC05-25-01420-01-030,S,GC05-14-007-03,R,,,GC05-25
70004118,01/01/14,12/31/2014,90020264,816,GC05-25-01420-02-005,S,GC05-14-007-03,R,,,GC05-25
70004119,01/01/14,12/31/2014,,32594.3,GC05-25-01420-02,S,GC05-14-007-03,R,,,GC05-25
70004120,01/01/14,12/31/2014,,5617.2,GC05-25-01420-03,S,GC05-14-007-03,R,,,GC05-25
70004121,01/01/14,12/31/2014,,44689,GC05-25-01690,S,GC05-14-008-03,R,,,GC05-25
70004122,01/01/14,12/31/2014,,8547.2,GC05-30-01480-01-005,S,GC05-14-009-03,R,,,GC05-30
70004123,01/01/14,12/31/2014,,16452.9,GC05-30-01480-01-060,S,GC05-14-009-03,R,,,GC05-30
70004124,01/01/14,12/31/2014,,40264,GC05-30-01480-01-065,S,GC05-14-009-03,R,,,GC05-30
70004125,01/01/14,12/31/2014,,1108,GC05-30-01510,S,GC05-14-010-03,R,,,GC05-30
70004126,01/01/14,12/31/2014,,30675.8,GC05-30-01540,S,GC05-14-011-03,R,,,GC05-30
70004127,01/01/14,12/31/2014,,11491.3,GC05-30-01540-04,S,GC05-14-011-03,R,,,GC05-30
70004128,01/01/14,12/31/2014,,2811.2,GC05-35-02570,S,GC05-14-012-03,R,,,GC05-35
70004129,01/01/14,12/31/2014,,3836,GC05-35-02600-01-005,S,GC05-14-013-03,R,,,GC05-35
70004130,01/01/14,12/31/2014,,9444.9,GC05-35-02600,S,GC05-14-013-03,R,,,GC05-35
70004131,01/01/14,12/31/2014,,4473.4,GC05-35-02660-01,S,GC05-14-015-03,R,,,GC05-35
70004133,01/01/14,12/31/2014,,105112,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004134,01/01/14,12/31/2014,,24920.4,GC05-40-02710,S,GC05-14-017-03,R,,,GC05-40
70004135,01/01/14,12/31/2014,,39147.7,GC05-40-02720,S,GC05-14-018-03,R,,,GC05-40
70004136,01/01/14,12/31/2014,,0,GC05-40-03750,S,GC05-14-019-03,R,,,GC05-40
70004137,01/01/14,12/31/2014,,3100,GC05-40-02590,S,GC05-14-016-03,R,,,GC05-40
70004138,01/01/14,12/31/2014,,2813.2,GC05-40-03750-01-095,S,GC05-14-019-03,R,,,GC05-40
70004139,01/01/14,12/31/2014,,37591.6,GC05-40-03750-01-100,S,GC05-14-019-03,R,,,GC05-40
70004140,01/01/14,12/31/2014,,12855.6,GC05-40-03810,S,GC05-14-021-03,R,,,GC05-40
70004141,01/01/14,12/31/2014,,247.2,GC05-40-04870,S,GC05-14-023-03,R,,,GC05-40
70004142,01/01/14,12/31/2014,,13026,GC05-40-03810,S,GC05-14-021-03,R,,,GC05-40
70004143,01/01/14,12/31/2014,,17499.1,GC05-10-01690,S,GC05-14-002-03,R,,,GC05-10
70004144,01/01/14,12/31/2014,,12786.4,GC05-10-01690,S,GC05-14-002-03,R,,,GC05-10
70004145,01/01/14,12/31/2014,,1419,GC05-20-01690,S,GC05-14-006-03,R,,,GC05-20
70004146,01/01/14,12/31/2014,,0,GC05-40-03780-01-110,S,GC05-14-020-03,R,,,GC05-40
70004147,01/01/14,12/31/2014,,7030.3,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004148,01/01/14,12/31/2014,,6719.6,GC05-40-03810,S,GC05-14-021-03,R,,,GC05-40
70004149,01/01/14,12/31/2014,,48121.1,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004150,01/01/14,12/31/2014,,0,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004151,01/01/14,12/31/2014,,5337.9,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004152,01/01/14,12/31/2014,,724.8,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004153,01/01/14,12/31/2014,,3751.5,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004154,01/01/14,12/31/2014,,0,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004155,01/01/14,12/31/2014,,100.2,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004156,01/01/14,12/31/2014,,272,GC05-10-01090,S,GC05-14-001-05,L,,,GC05-10
70004157,01/01/14,12/31/2014,,9773.9,GC05-15-01180,S,GC05-14-003-05,L,,,GC05-15
70004158,01/01/14,12/31/2014,,1224,GC05-15-01270,S,GC05-14-004-05,L,,,GC05-15
70004159,01/01/14,12/31/2014,,19710.2,GC05-20-01330,S,GC05-14-005-05,L,,,GC05-20
70004160,01/01/14,12/31/2014,,2584,GC05-20-01690,S,GC05-14-006-05,L,,,GC05-20
70004161,01/01/14,12/31/2014,,23915.9,GC05-25-01420,S,GC05-14-007-05,L,,,GC05-25
70004162,01/01/14,12/31/2014,,969,GC05-25-01690,S,GC05-14-008-05,L,,,GC05-25
70004163,01/01/14,12/31/2014,,0,GC05-30-01480,S,GC05-14-009-05,L,,,GC05-30
70004164,01/01/14,12/31/2014,,272,GC05-30-01510,S,GC05-14-010-05,L,,,GC05-30
70004165,01/01/14,12/31/2014,,272,GC05-30-01540,S,GC05-14-011-05,L,,,GC05-30
70004166,01/01/14,12/31/2014,,2312,GC05-30-01541,S,GC05-14-024-05,L,,,GC05-30
70004167,01/01/14,12/31/2014,,7831.7,GC05-35-02600,S,GC05-14-013-05,L,,,GC05-35
70004168,01/01/14,12/31/2014,,30659.7,GC05-10-01090,S,GC05-14-001-06,C,,,GC05-10
70004169,01/01/14,12/31/2014,,22834.8,GC05-10-01090,S,GC05-14-001-06,C,,,GC05-10
70004170,01/01/14,12/31/2014,,20205.3,GC05-15-01180,S,GC05-14-003-06,C,,,GC05-15
70004171,01/01/14,12/31/2014,,1111.9,GC05-15-01270,S,GC05-14-004-06,C,,,GC05-15
70004172,01/01/14,12/31/2014,,21332.3,GC05-20-01330,S,GC05-14-005-06,C,,,GC05-20
70004173,01/01/14,12/31/2014,,6870.3,GC05-20-01690,S,GC05-14-006-06,C,,,GC05-20
70004174,01/01/14,12/31/2014,,3322.3,GC05-25-01420,S,GC05-14-007-06,C,,,GC05-25
70004175,01/01/14,12/31/2014,,23930.5,GC05-25-01420,S,GC05-14-007-06,C,,,GC05-25
70004176,01/01/14,12/31/2014,,7140.2,GC05-25-01690,S,GC05-14-008-06,C,,,GC05-25
70004177,01/01/14,12/31/2014,,5525.5,GC05-30-01480,S,GC05-14-009-06,C,,,GC05-30
70004178,01/01/14,12/31/2014,,6351.5,GC05-30-01540,S,GC05-14-011-06,C,,,GC05-30
70004179,01/01/14,12/31/2014,,0,GC05-30-01510,S,GC05-14-010-06,C,,,GC05-30
70004180,01/01/14,12/31/2014,,4894,GC05-35-02600,S,GC05-14-013-06,C,,,GC05-35
70004181,01/01/14,12/31/2014,,1999.1,GC05-35-02570,S,GC05-14-012-06,C,,,GC05-35
70004182,01/01/14,12/31/2014,,0,GC05-40-02710,S,GC05-14-017-06,C,,,GC05-40
70004183,01/01/14,12/31/2014,,0,GC05-40-02720,S,GC05-14-018-06,C,,,GC05-40
70004184,01/01/14,12/31/2014,,0,GC05-40-02590,S,GC05-14-016-06,C,,,GC05-40
70004185,01/01/14,12/31/2014,,13174.1,GC05-40-03810,S,GC05-14-021-06,C,,,GC05-40
70004186,01/01/14,12/31/2014,,0,GC05-40-04870,S,GC05-14-023-06,C,,,GC05-40
70004187,01/01/14,12/31/2014,,3259.4,GC05-40-03750,S,GC05-14-019-06,C,,,GC05-40
70004188,01/01/14,12/31/2014,,9573,GC05-40-03780,S,GC05-14-020-06,C,,,GC05-40
70004189,01/01/14,12/31/2014,,0,GC05-10-01090,S,GC05-14-001-01,F,,,GC05-10
70004190,01/01/14,12/31/2014,,681,GC05-10-01690-01,S,GC05-14-002-01,F,,,GC05-10
70004191,01/01/14,12/31/2014,,0,GC05-15-01180,S,GC05-14-003-01,F,,,GC05-15
70004192,01/01/14,12/31/2014,,0,GC05-15-01270,S,GC05-14-004-01,F,,,GC05-15
70004193,01/01/14,12/31/2014,,816,GC05-20-01330,S,GC05-14-005-01,F,,,GC05-20
70004194,01/01/14,12/31/2014,,0,GC05-20-01690,S,GC05-14-006-01,F,,,GC05-20
70004195,01/01/14,12/31/2014,,0,GC05-25-01420-00-005,S,GC05-14-007-01,F,,,GC05-25
70004196,01/01/14,12/31/2014,,0,GC05-25-01420-00-010,S,GC05-14-007-01,F,,,GC05-25
70004197,01/01/14,12/31/2014,,0,GC05-25-01420-01,S,GC05-14-007-01,F,,,GC05-25
70004198,01/01/14,12/31/2014,,1768,GC05-25-01420-02,S,GC05-14-007-01,F,,,GC05-25
70004199,01/01/14,12/31/2014,,0,GC05-25-01420-03,S,GC05-14-007-01,F,,,GC05-25
70004200,01/01/14,12/31/2014,,0,GC05-25-01690,S,GC05-14-008-01,F,,,GC05-25
70004201,01/01/14,12/31/2014,,6514,GC05-30-01480,S,GC05-14-009-01,F,,,GC05-30
70004202,01/01/14,12/31/2014,,300,GC05-30-01510,S,GC05-14-010-01,F,,,GC05-30
70004203,01/01/14,12/31/2014,,1160,GC05-30-01540,S,GC05-14-011-01,F,,,GC05-30
70004204,01/01/14,12/31/2014,,0,GC05-30-01540-04,S,GC05-14-011-01,F,,,GC05-30
70004205,01/01/14,12/31/2014,,476,GC05-35-02600,S,GC05-14-013-01,F,,,GC05-35
70004206,01/01/14,12/31/2014,,0,GC05-35-02570,S,GC05-14-012-01,F,,,GC05-35
70004207,01/01/14,12/31/2014,,9.8,GC05-35-02660,S,GC05-14-015-01,F,,,GC05-35
70004208,01/01/14,12/31/2014,,0,GC05-40-02710,S,GC05-14-017-01,F,,,GC05-40
70004209,01/01/14,12/31/2014,,0,GC05-40-02720,S,GC05-14-018-01,F,,,GC05-40
70004210,01/01/14,12/31/2014,,0,GC05-40-04870,S,GC05-14-023-01,F,,,GC05-40
70004211,01/01/14,12/31/2014,,0,GC05-40-03810,S,GC05-14-021-01,F,,,GC05-40
70004212,01/01/14,12/31/2014,,0,GC05-40-02590,S,GC05-14-016-01,F,,,GC05-40
70004213,01/01/14,12/31/2014,,0,GC05-40-03750,S,GC05-14-019-01,F,,,GC05-40
70004214,01/01/14,12/31/2014,,0,GC05-40-03780,S,GC05-14-020-01,F,,,GC05-40
70004249,08/01/14,12/31/2014,,2513.5,GC05-10-01090,S,GC05-14-001-03,R,,,GC05-10
70004250,08/01/14,12/31/2014,,694.3,GC05-10-01690,S,GC05-14-002-03,R,,,GC05-10
70004251,08/01/14,12/31/2014,,5049.7,GC05-15-01180,S,GC05-14-003-03,R,,,GC05-15
70004252,08/01/14,12/31/2014,,1831.9,GC05-15-01270,S,GC05-14-004-03,R,,,GC05-15
70004253,08/01/14,12/31/2014,,44295.2,GC05-20-01330,S,GC05-14-005-03,R,,,GC05-20
70004254,08/01/14,12/31/2014,,7344,GC05-20-01690,S,GC05-14-006-03,R,,,GC05-20
70004255,08/01/14,12/31/2014,,24634.5,GC05-25-01420,S,GC05-14-007-03,R,,,GC05-25
70004256,08/01/14,12/31/2014,,5442,GC05-25-01690,S,GC05-14-008-03,R,,,GC05-25
70004257,08/01/14,12/31/2014,,13567.4,GC05-30-01480,S,GC05-14-009-03,R,,,GC05-30
70004258,08/01/14,12/31/2014,,3.2,GC05-30-01510,S,GC05-14-010-03,R,,,GC05-30
70004259,08/01/14,12/31/2014,,4350.9,GC05-30-01540,S,GC05-14-011-03,R,,,GC05-30
70004260,08/01/14,12/31/2014,,3,GC05-35-02570,S,GC05-14-012-03,R,,,GC05-35
70004261,08/01/14,12/31/2014,,10095.1,GC05-35-02600,S,GC05-14-013-03,R,,,GC05-35
70004262,08/01/14,12/31/2014,,15681.1,GC05-40-02590,S,GC05-14-016-03,R,,,GC05-40
70004263,08/01/14,12/31/2014,,304.2,GC05-40-02710,S,GC05-14-017-03,R,,,GC05-40
70004264,08/01/14,12/31/2014,,2.9,GC05-30-01541,S,GC05-14-024-03,R,,,GC05-30
70004265,08/01/14,12/31/2014,,764.6,GC05-40-02720,S,GC05-14-018-03,R,,,GC05-40
70004266,08/01/14,12/31/2014,,2597.9,GC05-40-03750,S,GC05-14-019-03,R,,,GC05-40
70004267,08/01/14,12/31/2014,,23459.8,GC05-40-03780,S,GC05-14-020-03,R,,,GC05-40
70004268,08/01/14,12/31/2014,,24376.5,GC05-40-03810,S,GC05-14-021-03,R,,,GC05-40
70004269,08/01/14,12/31/2014,,4694.3,GC05-40-04870,S,GC05-14-023-03,R,,,GC05-40
70004310,02/13/2014,12/31/2014,,1985.5,GC05-25-01420-00-015,S,GC05-14-007-03,R,,,GC05-25
80006451,03/27/2014,12/31/2014,90020107,6845.4,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006616,07/01/15,07/01/15,90020202,1496,GC05-20-01330-01-050,R,GC05-15-005-03,R,,,GC05-20
80006617,07/01/15,07/01/15,90020214,816,GC05-20-01690-01-015,R,GC05-15-006-03,R,,,GC05-20
80006618,07/01/15,07/01/15,90020480,816,GC05-35-02600-01-900,R,GC05-15-013-03,R,,,GC05-35
80006619,07/01/15,07/01/15,90020208,8385.7,GC05-20-01330-01-050,R,GC05-15-005-03,R,,,GC05-20
80006623,08/01/15,08/01/15,90020056,1496,GC05-10-01690-01-015,R,GC05-15-002-03,R,,,GC05-10
80006624,08/01/15,08/01/15,90020060,4288.5,GC05-10-01690-01-020,R,GC05-15-002-03,R,,,GC05-10
80006625,08/01/15,08/01/15,90020061,5529.4,GC05-10-01690-01-020,R,GC05-15-002-03,R,,,GC05-10
80006626,08/01/15,08/01/15,90020096,3318,GC05-15-01180-01-005,R,GC05-15-003-03,R,,,GC05-15
80006627,08/01/15,08/01/15,90020199,9238.7,GC05-20-01330-01-048,R,GC05-15-005-03,R,,,GC05-20
80006628,12/01/15,12/01/15,90020116,18200.6,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
80006632,01/14/2015,01/14/2015,90020177,11579.8,GC05-20-01330-01-040,R,GC05-15-904-02,J,,,GC05-20
80006633,01/14/2015,01/14/2015,90020192,104462.5,GC05-20-01330-01-045,R,GC05-15-904-02,J,,,GC05-20
80006640,01/19/2015,01/19/2015,90020503,17227,GC05-40-02590-01-999,R,GC05-15-016-03,R,,N,GC05-40
80006643,01/26/2015,01/26/2015,90020191,3150,GC05-20-01330-01-045,R,GC05-15-005-03,R,,,GC05-20
80006644,01/28/2015,01/28/2015,90020129,2078.3,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
70004598,07/01/15,01/31/2015,,55034.7,GC05-20-01330,S,GC05-15-005-03,R,,,GC05-20
80006647,09/02/15,09/02/15,90020126,1088,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
80006648,09/02/15,09/02/15,90020136,1700,GC05-15-01180-01-048,R,GC05-15-003-03,R,,,GC05-15
80006649,09/02/15,09/02/15,90020344,3234,GC05-25-01690-02-005,R,GC05-15-008-03,R,,,GC05-25
80006650,09/02/15,09/02/15,90020497,2025,GC05-35-02600-01-900,R,GC05-15-013-03,R,,,GC05-35
80006653,11/02/15,11/02/15,21851,12067,GC05-25-01420-00-015,R,GC05-15-007-03,R,,,GC05-25
80006654,11/02/15,11/02/15,21857,1620,GC05-25-01420-00-015,R,GC05-15-007-03,R,,,GC05-25
80006655,11/02/15,11/02/15,90020213,8060.7,GC05-20-01690-01-015,R,GC05-15-006-03,R,,,GC05-20
80006658,12/02/15,12/02/15,90020443,1249,GC05-30-01540-04-073,R,GC05-15-011-03,R,,,GC05-30
80006663,02/24/2015,02/24/2015,90020465,2290,GC05-35-02600-01-005,R,GC05-15-013-01,F,,,GC05-35
80006664,02/24/2015,02/24/2015,90020106,13059,GC05-15-01180-01-030,R,GC05-15-003-01,F,,,GC05-15
80006668,02/26/2015,02/26/2015,90020661,6032,GC05-35-02660-02-999,R,GC05-15-015-01,F,,,GC05-35
80006669,02/03/15,02/03/15,90020376,0,GC05-30-01480-01-060,R,GC05-15-009-03,R,1000222,N,GC05-30
80006670,02/03/15,02/03/15,90020189,1088,GC05-20-01330-01-045,R,GC05-15-005-03,R,,,GC05-20
80006671,02/03/15,02/03/15,90020107,3003.4,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
80006672,02/03/15,02/03/15,90020114,2584,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
80006673,02/03/15,02/03/15,90020176,38780.6,GC05-20-01330-01-040,R,GC05-15-005-03,R,,,GC05-20
80006674,05/03/15,05/03/15,90020051,5387.1,GC05-10-01090-01-005,R,GC05-15-001-03,R,,,GC05-10
80006679,03/16/2015,03/16/2015,90020052,0,GC05-10-01090-01-010,R,GC05-15-001-03,R,,,GC05-10
80006680,03/16/2015,03/16/2015,90020056,1904,GC05-10-01690-01-015,R,GC05-15-002-03,R,,,GC05-10
80006682,03/17/2015,03/17/2015,90020173,1088,GC05-20-01330-01-005,R,GC05-15-005-03,R,,,GC05-20
80006683,03/19/2015,03/19/2015,90020435,1768,GC05-30-01540-04-005,R,GC05-15-011-03,R,,N,GC05-30
80006685,03/23/2015,03/23/2015,90020052,1632,GC05-10-01090-01-010,R,GC05-15-001-03,R,,,GC05-10
80006686,03/24/2015,03/24/2015,90020089,3054.6,GC05-15-01180-01-005,R,GC05-15-003-03,R,,,GC05-15
80006688,03/24/2015,03/24/2015,90020380,3288,GC05-30-01480-01-060,R,GC05-15-009-03,R,,U,GC05-30
80006691,03/24/2015,03/24/2015,90020189,2850,GC05-20-01330-01-045,R,GC05-15-005-03,R,,,GC05-20
80006699,03/30/2015,03/30/2015,90020370,1189.7,GC05-30-01480-01-005,R,GC05-15-009-03,R,,,GC05-30
80006700,03/30/2015,03/30/2015,90020192,7368.1,GC05-20-01330-01-045,R,GC05-15-005-01,F,,,GC05-20
80006701,03/30/2015,03/30/2015,90020206,1836,GC05-20-01330-01-050,R,GC05-15-005-01,F,,,GC05-20
80006702,03/30/2015,03/30/2015,90020194,3082,GC05-20-01330-01-045,R,GC05-15-005-03,R,,,GC05-20
80006706,02/04/15,02/04/15,90020117,10796.9,GC05-15-01180-01-030,R,GC05-15-003-03,R,,,GC05-15
80006707,02/04/15,02/04/15,90020282,4143.5,GC05-25-01420-02-030,R,GC05-15-007-01,F,,,GC05-25
80006710,07/04/15,07/04/15,90020583,2606,GC05-40-03810-01-130,R,GC05-15-021-03,R,,,GC05-40
80006711,07/04/15,07/04/15,90020084,7250,GC05-25-01420-00-010,R,GC05-15-007-03,R,,,GC05-25
80006712,07/04/15,07/04/15,90020106,11418.4,GC05-15-01180-01-030,R,GC05-15-003-01,F,,,GC05-15
80006713,07/04/15,07/04/15,90020376,3476,GC05-30-01480-01-060,R,GC05-15-009-03,R,,,GC05-30
