WO,Date,MatCode,Value,Contractor,GL.Account
70004990,01/03/17,11206903,13.5,,2699599215
80011926,01/03/19,11207213,-13.6,,2699599215
80007025,01/04/16,11200021,117,,2699599215
70005062,01/03/17,11206528,390,,2699599215
70005062,01/03/17,11207345,95,,2699599215
80007027,01/04/16,11206903,18,,2699599215
80007027,01/04/16,11206908,43.2,,2699599215
70004978,01/03/17,11201280,603.9,,2699599215
70005026,01/03/17,11202665,350.7,,2599579215
80007027,01/04/16,11200536,162.9,,2699599215
80007606,01/03/17,11206908,21.6,,2699599215
80007025,01/04/16,11206904,6.6,,2699599215
80007025,01/04/16,11202867,26.4,,2699569215
80007025,01/04/16,11200021,117,,2699599215
80007606,01/03/17,11200536,54.3,,2699599215
80007606,01/03/17,11206903,11.3,,2699599215
80007023,01/04/16,11206939,20.5,,2699599215
80007604,01/03/17,11207385,7.2,,2699599215
80007023,01/04/16,11206939,27.3,,2699599215
80011104,01/05/18,11206908,10.8,,2699599215
80007025,01/04/16,11206937,11.3,,2699599215
80007025,01/04/16,11207385,5.8,,2699599215
70005003,01/05/18,11206903,6.8,,2699599215
70004979,01/04/17,11200020,97.7,,2699599215
70005227,01/05/18,91100433,0,,
80007024,01/04/16,91101929,0,,
70005259,01/05/18,11206905,42.5,,2699599215
80011127,01/05/18,11206904,6.6,,2699599215
80011127,01/05/18,11207385,5.9,,2699599215
80011127,01/05/18,11206947,8.3,,2699599215
80011127,01/05/18,11206905,10.6,,2699599215
80007026,01/04/16,11206937,11.3,,2699599215
80007026,01/04/16,11207385,7.2,,2699599215
70005210,01/05/18,11206904,9.8,,2699599215
70005179,01/05/18,11201947,466.9,,2699599215
80011107,01/08/18,11200021,120,,2699599215
80007023,01/04/16,11205523,44.8,,2699599215
80011107,01/08/18,11201679,249.9,,2699599215
80011939,01/02/19,11205600,96,,2699599215
80007026,01/04/16,11206939,23.9,,2699599215
80011127,01/08/18,11202988,112.5,,2699599215
80007026,01/04/16,11207385,21.6,,2699599215
80007025,01/04/16,11200020,97.7,,2699599215
80011107,01/08/18,11207650,127.5,,2699599215
80007026,01/04/16,11206933,9.5,,2699599215
80007026,01/04/16,11207385,11.5,,2699599215
80011107,01/08/18,11200838,240.2,,2699599215
80011941,01/14/19,11201192,84.3,,2699599215
80007026,01/04/16,11200458,45.4,,2699599215
80007026,01/04/16,11200187,133.5,,2699599215
80011072,01/08/18,91100759,0,,
80011948,01/14/19,91100225,0,,
80007026,01/04/16,11206903,11.3,,2699599215
80011107,01/08/18,11206935,4.9,,2699599215
80011948,01/14/19,11206903,6.7,,2699599215
80011948,01/14/19,11207385,5.1,,2699599215
80007026,01/04/16,11207001,62.5,,2699599215
80007026,01/04/16,11206908,16.2,,2699599215
80011113,01/09/18,11200536,190.1,,2699599215
80011113,01/09/18,11206903,33.8,,2699599215
80011113,01/09/18,11207385,8.2,,2699599215
80011113,01/09/18,11206937,11.3,,2699599215
80007027,01/04/16,11206933,19.1,,2699599215
80007027,01/04/16,91101929,0,,
80007027,01/04/16,91101931,0,,
80011132,01/09/18,11207213,13.6,,2699599215
80007606,01/04/17,11200571,5050,,2699599215
80007606,01/04/17,11200477,114.6,,2699599215
70005368,01/14/19,91101931,0,,
70005370,01/14/19,11206904,13.1,,2699599215
70005353,01/14/19,11206908,21.6,,2699599215
70004990,01/04/17,11206903,11.3,,2699599215
70004990,01/04/17,11206904,6.6,,2699599215
70005368,01/14/19,11206908,10.8,,2699599215
70005368,01/14/19,11206903,9,,2699599215
70004968,01/04/17,11207385,4.3,,2699599215
80011956,01/13/19,11200491,2978.9,,2699599215
70004978,01/05/17,11206936,8.6,,2699599215
80007601,01/05/17,11206908,27,,2699599215
80007633,01/05/17,11200942,238.6,,2699599215
80007633,01/05/17,11207355,1782.3,,2699599215
70004967,01/05/17,11201409,162.9,,2699599215
70004967,01/05/17,91101934,0,,
70004980,01/05/17,11206932,6.4,,2699599215
70004978,01/05/17,11206904,6.6,,2699599215
70004978,01/05/17,11206932,8.1,,2699599215
70005196,01/12/18,11206903,4.5,,2699599215
70004999,01/05/17,11206904,6.6,,2699599215
80011128,01/12/18,91101929,0,,
70004501,01/05/15,11206942,19.5,,2699599215
70004460,01/05/15,11201280,603.9,,2699599215
80006609,01/05/15,91101929,0,,
70004460,01/05/15,11206913,23.4,,2699599215
70004460,01/05/15,11207546,33.4,,2699599215
70004460,01/05/15,11206942,32.5,,2699599215
70004451,01/05/15,11206904,9.9,,2699599215
80007025,01/08/16,11200013,3645.8,,2699569215
80007025,01/08/16,11200012,2441.6,,2699569215
80007025,01/08/16,11202001,2381.7,,2699569215
70004451,01/07/15,11206918,8.4,,2699599215
70004501,01/07/15,11206939,19.2,,2699599215
70004501,01/07/15,11206903,4.5,,2699599215
70004503,01/07/15,11206942,13,,2699599215
70004503,01/07/15,11206913,2,,2699599215
70004980,01/03/17,91100625,0,,
70004980,01/03/17,11207385,7.2,,2699599215
70004477,01/08/15,11207385,5.8,,2699599215
70004477,01/08/15,11206918,12.6,,2699599215
70004477,01/08/15,11207546,100.2,,2699599215
70004451,01/08/15,91101929,0,,
70004451,01/08/15,11207385,4.3,,2699599215
70004451,01/08/15,11206903,4.5,,2699599215
70004477,01/08/15,11200954,140.3,,2699599215
70004503,01/08/15,11206913,3.9,,2699599215
70004503,01/08/15,11207546,33.4,,2699599215
70004451,01/08/15,91101929,0,,
70004451,01/08/15,11207385,-4.3,,2699599215
70004451,01/08/15,11206903,-4.5,,2699599215
70004119,01/08/14,11206904,6.6,,2699599215
70004119,01/08/14,11206903,6.8,,2699599215
70004451,01/08/15,91101931,0,,
70004451,01/08/15,11207385,4.3,,2699599215
70004451,01/08/15,11206903,4.5,,2699599215
70004978,01/09/17,11200021,120,,2699599215
80011128,01/09/18,11207001,53.6,,2699599215
70004147,01/08/14,11206942,32.5,,2699599215
70004147,01/08/14,11206913,5.9,,2699599215
70004147,01/08/14,11202650,41.7,,2699599215
70004147,01/08/14,11206882,19.1,,2699599215
70004477,01/08/15,11201443,234.6,,2699599215
70004980,01/09/17,11207385,2.9,,2699599215
80011095,01/09/18,11206905,15.9,,2699599215
70004119,01/08/14,11206937,4.5,,2699599215
70004119,01/08/14,11207385,2.9,,2699599215
70004451,01/08/15,91101929,0,,
70004451,01/08/15,11205536,62,,2699599215
80011107,01/09/18,91101930,0,,
70004450,01/08/15,11206937,18,,2699599215
70004450,01/08/15,11207385,7.2,,2699599215
80011123,01/09/18,11207385,7,,2699599215
80011123,01/09/18,11206937,9,,2699599215
70004492,01/09/15,11206920,80.3,,2699599215
70004492,01/09/15,11206913,11.7,,2699599215
80010763,01/09/18,91100508,0,,
70004121,01/10/14,11206913,3,,2699599215
70004121,01/10/14,11206942,13,,2699599215
70004119,01/10/14,11207385,1.4,,2699599215
70004119,01/10/14,11206947,2.1,,2699599215
70004680,01/08/16,11202708,14.8,,2699599215
80007048,01/01/17,11206904,9.9,,2699599215
70005076,01/01/17,11206904,6.6,,2699599215
70004796,01/11/16,11206888,165,,2699599215
80007578,01/01/17,11206904,3.3,,2699599215
80007048,01/01/17,11206904,6.6,,2699599215
80007586,01/01/17,11206904,3.3,,2699599215
70005019,01/01/17,11206904,6.6,,2699599215
70004978,01/09/17,91101927,0,,
70004978,01/09/17,11207385,8.7,,2699599215
70004990,01/09/17,11206947,4.1,,2699599215
70004990,01/09/17,11206907,4.8,,2699599215
70004990,01/09/17,91101928,0,,
70005004,01/09/17,91102075,0,,
70004135,01/10/14,11206904,6.6,,2699599215
